0.020000,
0.040000,
0.060000,
0.080000,
0.100000,
0.120000,
0.140000,
0.160000,
0.180000,
0.200000,
0.220000,
0.240000,
0.260000,
0.280000,
0.300000,
0.320000,
0.341000,
0.361000,
0.381000,
0.401000,
0.421000,
0.441000,
0.461000,
0.481000,
0.501000,
0.521000,
0.541000,
0.562000,
0.582000,
0.602000,
0.622000,
0.643000,
0.663000,
0.683000,
0.703000,
0.723000,
0.743000,
0.763000,
0.783000,
0.803000,
0.823000,
0.844000,
0.864000,
0.884000,
0.904000,
0.924000,
0.944000,
0.964000,
0.984000,
1.004000,
1.024000,
1.044000,
1.064000,
1.084000,
1.104000,
1.124000,
1.144000,
1.164000,
1.185000,
1.205000,
1.225000,
1.246000,
1.266000,
1.286000,
1.306000,
1.326000,
1.347000,
1.367000,
1.387000,
1.407000,
1.427000,
1.447000,
1.467000,
1.487000,
1.507000,
1.527000,
1.547000,
1.567000,
1.587000,
1.607000,
1.627000,
1.647000,
1.667000,
1.687000,
1.707000,
1.727000,
1.747000,
1.767000,
1.787000,
1.807000,
1.827000,
